nome,categoria:ingresso_giornaliero|abbonamento|carnet|extra,prezzo,durata_giorni,durata_mesi,numero_ingressi,ore_sale_incluse,descrizione
Abbonamento bisettimanale,abbonamento,"€80,00",14,,,4,
Abbonamento settimanale,abbonamento,"€60,00",7,,,2,
Carnet 20 1/2 giornate,carnet,"€100,00",,6,20,,
Carnet sala riunioni basic 10 ore,sala_riunioni,"€80,00",,6,,10,
Carnet sala riunioni business 10 ore,sala_riunioni,"€120,00",,6,,10,
Carnet sala riunioni per abbonamenti,sala_riunioni,"€30,00",,6,,10,
Coffee break,extra,"€3,00",,,,,
"Extra (0,10€)",extra,"€0,10",,,,,
"Extra (1,00€)",extra,"€1,00",,,,,
Light lunch,extra,"€6,00",,,,,
Mensile fissa,abbonamento,"€140,00",,1,,200,
Mensile fissa con monitor,abbonamento,"€170,00",,1,,200,
Mensile fissa socie e soci,abbonamento,"€120,00",,1,,200,
Mensile flex 1° mese,abbonamento,"€100,00",,1,,8,
Mensile flex mesi successivi,abbonamento,"€80,00",,1,,8,
Mezza giornata,ingresso_giornaliero,"€8,00",1,,,,
Sala Corsi/Eventi intera giornata,sala_riunioni,"€150,00",,,,,
Sala Corsi/Eventi ore successive,sala_riunioni,"€15,00",,,,,
Sala Corsi/Eventi prime 2 ore,sala_riunioni,"€40,00",,,,,
Sala riunioni basic 1 ora,sala_riunioni,"€10,00",,,,,
Sala riunioni business 1 ora,sala_riunioni,"€15,00",,,,,
Sala riunioni micro 1 ora,sala_riunioni,"€4,00",,,,,
Sala riunioni micro o 1/2 sala riunione,sala_riunioni,"€2,00",,,,,
Sala riunioni per abbonamenti e carnet 1 ora,,"€4,00",,,,,
Una giornata,ingresso_giornaliero,"€15,00",1,,,1,
